itemType,title,date,checkOutTimes,checkOutDuration
accd,Lodger,2006/06,20,16.5833
accd,Low,2006/06,35,19.6316
accd,man who sold the world,2006/06,26,14.6429
accd,Outside,2006/06,13,20
accd,Reality,2006/06,17,14.6364
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/06,52,13.0303
accd,Scary monsters,2006/06,24,8.0909
accd,Space oddity,2006/06,28,16.7895
accd,Stage,2006/06,18,17.7778
accd,Station to station,2006/06,40,17.5714
accd,Young Americans,2006/06,27,17.4375
accd,Aladdin sane,2006/07,25,17.6316
accd,Best of Bowie,2006/07,52,16.375
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/07,44,10.1481
accd,ChangesBowie,2006/07,8,20.6
accd,David live,2006/07,21,8.9091
accd,Diamond dogs,2006/07,28,12.2105
accd,Earthling,2006/07,11,13
accd,Heathen,2006/07,6,3.6667
accd,Heroes,2006/07,34,19.2
accd,Hunky dory,2006/07,23,13.4615
accd,Lodger,2006/07,19,16.9
accd,Low,2006/07,25,9.3846
accd,man who sold the world,2006/07,32,10.4737
accd,Outside,2006/07,17,11.6
accd,Reality,2006/07,17,18.0909
accd,rise and fall of Ziggy Stardust and the spiders from Mars,2006/07,34,13.4737
accd,Scary monsters,2006/07,32,19.5556
accd,Space oddity,2006/07,23,22
accd,Stage,2006/07,21,10.2308
accd,Station to station,2006/07,26,16.3333
accd,Young Americans,2006/07,36,14.4762
accd,Aladdin sane,2006/08,32,15.8095
accd,Best of Bowie,2006/08,42,14.3846
accd,Bowie at the Beeb the best of the BBC radio sessions 68 72,2006/08,41,14.8
accd,ChangesBowie,2006/08,16,13.4444
accd,David live,2006/08,21,21.9167
accd,Diamond dogs,2006/08,21,15.5455
accd,Earthling,2006/08,13,13.4286
accd,Heathen,2006/08,6,19.25
accd,Heroes,2006/08,13,19
accd,Hunky dory,2006/08,21,10.5
accd,Lodger,2006/08,17,19.6
accd,Low,2006/08,30,18.375
